filename,width,height,class,xmin,ymin,xmax,ymax
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,1147,1694,1337,1863
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,1392,1725,1567,1918
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,1645,1816,1756,1933
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,1913,1793,2104,1966
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,2270,1817,2488,2034
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,2663,1889,2885,2087
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,3390,1934,3524,2060
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,3732,1958,3796,2026
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,442,1651,598,1786
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,3504,2488,3783,2753
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,3538,2815,3784,2999
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Palm,3782,1292,4000,1634
ck2oh0xx2sthb0838g3pmr4ky.jpg,4000,3000,Tree,3074,2474,3558,2956
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,266,2576,854,3000
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,372,2039,897,2529
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,0,2002,375,2481
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,0,1467,375,1877
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,425,1510,926,1974
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,1015,1627,1474,2006
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,248,0,695,424
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,177,473,654,924
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,609,433,1094,875
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,656,0,1198,453
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,992,591,1635,956
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,1229,19,1726,522
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,1743,60,2277,569
ck2sm3r0qzgcd0748janb7xww.jpg,4000,3000,Palm,2300,189,2747,605
